wallet_number,contract_function,label,public_key,tx_hash,tx_link,status
1,"credential_exists","Credential existence audit check batch A","GCSEBKWTNXSSHZZFLQTIMCKXIOENDVD7A3ONS4NQX2AFQ2OTBZL73KXF","7dade52c4fbf69c9b2f65fe089b19dbf7f7a86f553f5cfa7ac6f924c63360242","https://stellar.expert/explorer/testnet/tx/7dade52c4fbf69c9b2f65fe089b19dbf7f7a86f553f5cfa7ac6f924c63360242","SUCCESS"
2,"register_institution","BITS Pilani Distance Learning Authority","GAZDZ77TTX5KVS7GYFELVHN52EMUEZTCTQGWUFFJQHPHELSVH323V55Q","5b942ed5539817d80126f49deb514408b437d042b6d9f90dd507b47afe4f1876","https://stellar.expert/explorer/testnet/tx/5b942ed5539817d80126f49deb514408b437d042b6d9f90dd507b47afe4f1876","SUCCESS"
3,"verify_credential","Data science certification blockchain verify","GDAIBUN6AUSO5J4Y4HJNKDBZDMSKHEIWDOILXWGBTNSV6ON7OCWUSADJ","9b324b7deda29e9bf4d1f446fea666b58d8e13eaf02b5d4c7e2b2b92ce893eac","https://stellar.expert/explorer/testnet/tx/9b324b7deda29e9bf4d1f446fea666b58d8e13eaf02b5d4c7e2b2b92ce893eac","SUCCESS"
4,"register_institution","Amity University Noida Skill Centre","GB6GMHC5ETPSVQRSN4LTQTM3QYS2HTOUZWKINSTBYTJSCHODD4FOGYVI","b6a4dd4f1cd28325fc4632ed9c000e29fea3f4a0111bb466c57327efcdf5fdc3","https://stellar.expert/explorer/testnet/tx/b6a4dd4f1cd28325fc4632ed9c000e29fea3f4a0111bb466c57327efcdf5fdc3","SUCCESS"
5,"register_institution","Delhi University Faculty of Law LLB","GDDZM6IEDGQBVFN3W73OFDLK5R4M4HW6FVGNOBNSCBYCYAOGUV6N7QYM","01584c734e491382044e2fee32111fae44ac3c35de9f9e7b6c9551c21f9cdae2","https://stellar.expert/explorer/testnet/tx/01584c734e491382044e2fee32111fae44ac3c35de9f9e7b6c9551c21f9cdae2","SUCCESS"
6,"verify_credential","IT certification immutability verify scan","GDNCE3MFJZGXLSPQILJYBJ3WRYGLYHL7VNUDXD7UHV2BFTFYYRUWMR7G","03099711bd72ef28744d450b8981b28d0729183ea1a5719b7f15fd1169037573","https://stellar.expert/explorer/testnet/tx/03099711bd72ef28744d450b8981b28d0729183ea1a5719b7f15fd1169037573","SUCCESS"
7,"credential_exists","Institutional batch existence check J","GDPERRUJA6UPPDDEE65FUFGXL65H5NU4DWVB6XWVGSESWE22AJO3RYSX","44530a436f81459b275a9e13d0ec82c1645f4b78313e8d12289437dc421a8c1c","https://stellar.expert/explorer/testnet/tx/44530a436f81459b275a9e13d0ec82c1645f4b78313e8d12289437dc421a8c1c","SUCCESS"
8,"verify_credential","Nursing credentials Soroban query check","GBVZEMRKFLMCBI6JUHF6HLMUGDAYMBWYGILHAOQFY5TX6MXVDCI6PBTG","8b43517627d9e45f24f4478b5a6ec225ab382a68fa35da2400152244889e7a61","https://stellar.expert/explorer/testnet/tx/8b43517627d9e45f24f4478b5a6ec225ab382a68fa35da2400152244889e7a61","SUCCESS"
9,"verify_credential","Pharmacy degree credential validity check","GAH2FD3T7RMVBUNJ22QETMAKJ5IQXRRUH5D55XXMRJBQZ25FG5ADX43A","82acf17dd40ecb41688a65a4453ff40d692b8223d610d629d2f5f2d655738b78","https://stellar.expert/explorer/testnet/tx/82acf17dd40ecb41688a65a4453ff40d692b8223d610d629d2f5f2d655738b78","SUCCESS"
10,"register_institution","IIM Ahmedabad MBA Certification Body","GDVZFGBTKVAYXJEXIIOFBQOXU3AO6D6BFZWZW7C4EITRKY44OE2FFXMW","64bf54baa81a11244781ac0763d591d960566011f0cb9bdbf823d7a706db6641","https://stellar.expert/explorer/testnet/tx/64bf54baa81a11244781ac0763d591d960566011f0cb9bdbf823d7a706db6641","SUCCESS"
